Time,Sensor,Bubble
2022-12-15 13:49:36.287765,0,LIQUID
2022-12-15 13:49:36.395300,0,AIR
2022-12-15 13:49:36.684038,0,LIQUID
2022-12-15 13:49:36.991324,0,LIQUID
2022-12-15 13:49:37.130842,0,AIR
2022-12-15 13:49:37.408663,0,LIQUID
2022-12-15 13:49:37.618696,0,AIR
2022-12-15 13:49:41.416733,0,LIQUID
2022-12-15 13:49:41.535953,0,AIR
2022-12-15 13:49:46.056608,0,LIQUID
2022-12-15 13:49:52.286261,0,AIR
2022-12-15 13:49:52.491176,0,LIQUID
2022-12-15 13:49:52.830722,0,AIR
2022-12-15 13:49:53.007647,0,LIQUID
2022-12-15 13:49:53.567127,0,AIR
2022-12-15 13:49:53.785907,0,AIR
2022-12-15 13:49:58.114648,0,LIQUID
2022-12-15 13:49:58.787605,0,LIQUID
2022-12-15 13:50:01.864657,0,LIQUID
2022-12-15 13:50:02.065415,0,LIQUID
2022-12-15 13:50:02.247226,0,LIQUID
2022-12-15 13:50:03.021074,0,LIQUID
2022-12-15 13:50:14.659487,0,LIQUID
2022-12-15 13:50:15.111549,0,LIQUID
2022-12-15 13:50:15.220271,0,LIQUID
2022-12-15 13:50:18.461755,0,AIR
2022-12-15 13:50:18.620494,0,LIQUID
2022-12-15 13:50:25.402819,0,AIR
2022-12-15 13:50:25.932966,0,AIR
2022-12-15 13:50:26.245111,0,LIQUID
2022-12-15 13:50:30.921170,0,LIQUID
2022-12-15 13:50:31.049161,0,LIQUID
2022-12-15 13:50:34.846026,0,AIR
2022-12-15 13:50:35.055298,0,LIQUID
2022-12-15 13:50:41.106131,0,AIR
2022-12-15 13:50:41.461129,0,AIR
2022-12-15 13:50:41.628043,0,LIQUID
2022-12-15 13:50:42.331155,0,AIR
2022-12-15 13:50:42.563030,0,LIQUID
2022-12-15 13:50:46.642529,0,LIQUID
2022-12-15 13:50:46.745874,0,LIQUID
2022-12-15 13:50:47.384360,0,LIQUID
2022-12-15 13:50:47.488275,0,LIQUID
2022-12-15 13:50:49.815150,0,LIQUID
2022-12-15 13:50:49.918034,0,LIQUID
2022-12-15 13:50:50.073973,0,LIQUID
2022-12-15 13:50:56.965268,0,AIR
2022-12-15 13:50:57.278832,0,LIQUID
2022-12-15 13:50:57.433865,0,AIR
2022-12-15 13:50:57.542829,0,LIQUID
2022-12-15 13:50:57.719469,0,LIQUID
2022-12-15 13:50:57.846640,0,LIQUID
2022-12-15 13:50:58.002486,0,LIQUID
2022-12-15 13:50:58.199957,0,LIQUID
2022-12-15 13:50:58.304458,0,LIQUID
2022-12-15 13:50:58.470752,0,LIQUID
2022-12-15 13:51:03.018664,0,AIR
2022-12-15 13:51:06.046983,0,AIR
2022-12-15 13:51:06.167419,0,AIR
2022-12-15 13:51:12.947167,0,AIR
2022-12-15 13:51:13.303672,0,AIR
2022-12-15 13:51:13.498170,0,LIQUID
2022-12-15 13:51:13.876009,0,LIQUID
2022-12-15 13:51:14.106533,0,LIQUID
2022-12-15 13:51:18.797314,0,AIR
2022-12-15 13:51:19.430060,0,AIR
2022-12-15 13:51:21.620722,0,LIQUID
2022-12-15 13:51:22.478666,0,AIR
2022-12-15 13:51:22.594918,0,LIQUID
2022-12-15 13:51:28.794573,0,AIR
2022-12-15 13:51:29.158355,0,LIQUID
2022-12-15 13:51:29.319019,0,LIQUID
2022-12-15 13:51:29.997307,0,AIR
2022-12-15 13:51:30.227999,0,LIQUID
2022-12-15 13:51:34.465932,0,LIQUID
2022-12-15 13:51:35.067425,0,LIQUID
2022-12-15 13:51:35.195777,0,LIQUID
2022-12-15 13:51:37.607746,0,AIR
2022-12-15 13:51:37.869854,0,LIQUID
2022-12-15 13:51:38.751116,0,AIR
2022-12-15 13:51:44.626771,0,AIR
2022-12-15 13:51:44.954953,0,AIR
2022-12-15 13:51:45.105407,0,LIQUID
2022-12-15 13:51:45.205510,0,LIQUID
2022-12-15 13:51:45.975538,0,LIQUID
2022-12-15 13:51:46.114403,0,LIQUID
2022-12-15 13:51:46.277841,0,LIQUID
2022-12-15 13:51:50.217974,0,LIQUID
2022-12-15 13:51:50.719639,0,LIQUID
2022-12-15 13:51:50.819915,0,LIQUID
2022-12-15 13:51:53.751939,0,AIR
2022-12-15 13:51:53.979145,0,LIQUID
2022-12-15 13:52:00.649574,0,AIR
2022-12-15 13:52:01.044699,0,LIQUID
2022-12-15 13:52:01.240877,0,LIQUID
2022-12-15 13:52:01.565615,0,LIQUID
2022-12-15 13:52:01.798832,0,LIQUID
2022-12-15 13:52:06.409618,0,LIQUID
2022-12-15 13:52:06.540836,0,AIR
2022-12-15 13:52:07.067074,0,AIR
2022-12-15 13:52:09.238295,0,LIQUID
2022-12-15 13:52:09.579184,0,LIQUID
2022-12-15 13:52:09.918218,0,AIR
2022-12-15 13:52:10.066611,0,LIQUID
2022-12-15 13:52:10.259787,0,LIQUID
2022-12-15 13:52:16.407785,0,AIR
2022-12-15 13:52:16.729831,0,LIQUID
2022-12-15 13:52:16.873066,0,LIQUID
2022-12-15 13:52:17.580388,0,AIR
2022-12-15 13:52:17.808098,0,LIQUID
2022-12-15 13:52:22.092913,0,LIQUID
2022-12-15 13:52:22.268742,0,AIR
2022-12-15 13:52:22.390060,0,LIQUID
2022-12-15 13:52:22.646442,0,LIQUID
2022-12-15 13:52:25.436252,0,LIQUID
2022-12-15 13:52:25.664858,0,LIQUID
2022-12-15 13:52:25.796852,0,LIQUID
2022-12-15 13:52:25.976677,0,AIR
2022-12-15 13:52:26.107523,0,LIQUID
2022-12-15 13:52:32.397123,0,AIR
2022-12-15 13:52:32.529097,0,LIQUID
2022-12-15 13:52:33.264506,0,AIR
2022-12-15 13:52:37.676763,0,LIQUID
2022-12-15 13:52:37.851386,0,LIQUID
2022-12-15 13:52:38.036689,0,LIQUID
2022-12-15 13:52:41.282559,0,AIR
2022-12-15 13:52:41.532404,0,LIQUID
2022-12-15 13:52:41.638512,0,LIQUID
2022-12-15 13:52:41.740405,0,LIQUID
2022-12-15 13:52:47.854325,0,AIR
2022-12-15 13:52:47.974139,0,LIQUID
2022-12-15 13:52:48.077444,0,AIR
2022-12-15 13:52:48.192748,0,LIQUID
2022-12-15 13:52:48.827861,0,AIR
2022-12-15 13:52:48.939714,0,LIQUID
2022-12-15 13:52:53.141093,0,LIQUID
2022-12-15 13:52:53.363651,0,LIQUID
2022-12-15 13:52:56.847426,0,AIR
2022-12-15 13:53:03.410992,0,AIR
2022-12-15 13:53:03.529865,0,AIR
2022-12-15 13:53:03.714117,0,LIQUID
2022-12-15 13:53:04.026814,0,LIQUID
2022-12-15 13:53:04.142148,0,LIQUID
2022-12-15 13:53:08.675384,0,LIQUID
2022-12-15 13:53:09.322561,0,AIR
2022-12-15 13:53:11.649103,0,LIQUID
2022-12-15 13:53:11.781855,0,LIQUID
2022-12-15 13:53:18.730230,0,AIR
2022-12-15 13:53:18.845366,0,LIQUID
2022-12-15 13:53:18.989903,0,LIQUID
2022-12-15 13:53:19.763129,0,LIQUID
2022-12-15 13:53:19.869752,0,AIR
2022-12-15 13:53:24.644216,0,LIQUID
2022-12-15 13:53:27.724229,0,AIR
2022-12-15 13:53:34.302351,0,AIR
2022-12-15 13:53:34.464188,0,LIQUID
2022-12-15 13:53:35.292873,0,AIR
2022-12-15 13:53:39.863892,0,LIQUID
2022-12-15 13:53:43.142881,0,AIR
2022-12-15 13:53:43.258779,0,LIQUID
2022-12-15 13:53:49.709177,0,AIR
2022-12-15 13:53:49.827546,0,LIQUID
2022-12-15 13:53:50.473300,0,LIQUID
2022-12-15 13:53:55.009520,0,LIQUID
2022-12-15 13:53:55.298610,0,LIQUID
2022-12-15 13:53:55.508254,0,LIQUID
2022-12-15 13:53:58.030752,0,LIQUID
2022-12-15 13:53:58.376800,0,LIQUID
2022-12-15 13:53:58.785779,0,AIR
2022-12-15 13:53:58.892097,0,LIQUID
2022-12-15 13:54:04.894767,0,AIR
2022-12-15 13:54:05.011011,0,LIQUID
2022-12-15 13:54:05.930618,0,LIQUID
2022-12-15 13:54:10.129332,0,LIQUID
2022-12-15 13:54:10.414973,0,LIQUID
2022-12-15 13:54:10.615411,0,LIQUID
2022-12-15 13:54:13.628088,0,LIQUID
2022-12-15 13:54:13.770362,0,LIQUID
2022-12-15 13:54:13.983986,0,LIQUID
2022-12-15 13:54:20.090475,0,AIR
2022-12-15 13:54:21.364772,0,LIQUID
2022-12-15 13:54:25.595112,0,LIQUID
2022-12-15 13:54:25.821655,0,LIQUID
2022-12-15 13:54:29.308352,0,AIR
2022-12-15 13:54:35.479015,0,AIR
2022-12-15 13:54:35.580627,0,LIQUID
2022-12-15 13:54:35.714194,0,AIR
2022-12-15 13:54:36.632493,0,LIQUID
2022-12-15 13:54:36.763322,0,LIQUID
2022-12-15 13:54:40.909979,0,LIQUID
2022-12-15 13:54:50.793604,0,AIR
2022-12-15 13:54:50.916255,0,AIR
2022-12-15 13:54:52.040885,0,AIR
2022-12-15 13:55:06.068910,0,AIR
2022-12-15 13:55:07.439696,0,LIQUID
2022-12-15 13:55:21.292499,0,AIR
2022-12-15 13:55:21.485563,0,LIQUID
2022-12-15 13:55:22.683909,0,LIQUID
2022-12-15 13:55:22.794309,0,LIQUID
2022-12-15 14:06:27.487799,0,LIQUID
2022-12-15 14:06:29.820358,0,LIQUID
2022-12-15 14:06:43.452990,0,AIR
2022-12-15 14:06:45.664059,0,LIQUID
2022-12-15 14:06:58.965874,0,LIQUID
2022-12-15 14:07:02.219750,0,LIQUID
2022-12-15 14:07:15.193481,0,LIQUID
2022-12-15 14:07:18.122345,0,LIQUID
2022-12-15 14:07:31.426663,0,LIQUID
2022-12-15 14:07:34.042122,0,LIQUID
2022-12-15 14:07:47.561319,0,AIR
2022-12-15 14:07:49.904591,0,LIQUID
